id;label;vocab;ref_id;created_at;updated_at
019adc1b-2e6e-70dc-8611-6b4179a1345d;acrobatas;VCAA;7497;"2025-12-01 19:49:20";"2025-12-01 19:49:20"
019adc1b-2f03-721f-87f2-8feb5e095b40;alcoólatras;VCAA;2666;"2025-12-01 19:49:20";"2025-12-01 19:49:20"
019adc1b-2f70-71fd-b0e7-242e9fe2d4e8;arquitetos;VCAA;7634;"2025-12-01 19:49:20";"2025-12-01 19:49:20"
019adc1b-2fdf-7123-8a8e-874d782c3dab;carpinteiros;VCAA;7636;"2025-12-01 19:49:20";"2025-12-01 19:49:20"
019adc1b-304c-7388-bbe6-1206c7179671;colecionadores;VCAA;3770;"2025-12-01 19:49:20";"2025-12-01 19:49:20"
019adc1b-30ba-70a5-b962-b8574b5d0730;crianças;VCAA;3372;"2025-12-01 19:49:20";"2025-12-01 19:49:20"
019adc1b-3126-71ec-933f-dd35ae4e415a;"críticos de arte";VCAA;5889;"2025-12-01 19:49:20";"2025-12-01 19:49:20"
019adc1b-3193-70d9-87d9-24b2bc281fd2;desenhistas;VCAA;3458;"2025-12-01 19:49:21";"2025-12-01 19:49:21"
019adc1b-3201-71fb-b7d0-780a6493e5db;educadores;VCAA;3975;"2025-12-01 19:49:21";"2025-12-01 19:49:21"
019adc1b-3270-7298-b0c0-9ca60f3342d4;empresários;VCAA;3511;"2025-12-01 19:49:21";"2025-12-01 19:49:21"
019adc1b-32df-718d-a682-3530da29848b;escultores;VCAA;4004;"2025-12-01 19:49:21";"2025-12-01 19:49:21"
019adc1b-334d-708d-b142-4482367048da;fotógrafos;VCAA;3933;"2025-12-01 19:49:21";"2025-12-01 19:49:21"
019adc1b-33bb-7375-96bf-f98cd9629553;gravadores;VCAA;4172;"2025-12-01 19:49:21";"2025-12-01 19:49:21"
019adc1b-342a-70a1-8240-9ad11894b036;idosos;VCAA;4257;"2025-12-01 19:49:21";"2025-12-01 19:49:21"
019adc1b-3497-714a-b115-99859c09a8f5;ilustradores;VCAA;4266;"2025-12-01 19:49:21";"2025-12-01 19:49:21"
019adc1b-3505-7246-8421-4ea6d8481f82;imigrantes;VCAA;4313;"2025-12-01 19:49:21";"2025-12-01 19:49:21"
019adc1b-3572-724f-ae13-090b370ad980;intelectuais;VCAA;4333;"2025-12-01 19:49:22";"2025-12-01 19:49:22"
019adc1b-35e0-739f-9bb1-e77f007c78c3;jesuítas;VCAA;4301;"2025-12-01 19:49:22";"2025-12-01 19:49:22"
019adc1b-364f-7148-ae9e-412a4230313b;miseráveis;VCAA;4445;"2025-12-01 19:49:22";"2025-12-01 19:49:22"
019adc1b-36bd-7111-b9eb-2c9c2095e471;mulheres;VCAA;4585;"2025-12-01 19:49:22";"2025-12-01 19:49:22"
019adc1b-372a-722e-bdce-2e0f4e835ccb;museólogos;VCAA;4591;"2025-12-01 19:49:22";"2025-12-01 19:49:22"
019adc1b-3799-734f-94a9-a6f14d05cda7;náufragos;VCAA;4622;"2025-12-01 19:49:22";"2025-12-01 19:49:22"
019adc1b-3806-73fd-9d4c-6a1d2caf79b9;"nomes pessoais";VCAA;4708;"2025-12-01 19:49:22";"2025-12-01 19:49:22"
019adc1b-3875-72c8-931f-747223eec907;oleiros;VCAA;4723;"2025-12-01 19:49:22";"2025-12-01 19:49:22"
019adc1b-38e3-71cc-bf23-3307d3143e25;ouríves;VCAA;6183;"2025-12-01 19:49:22";"2025-12-01 19:49:22"
019adc1b-3951-70df-bedd-c30463e73596;pedreiros;VCAA;7635;"2025-12-01 19:49:23";"2025-12-01 19:49:23"
019adc1b-39c1-7199-a0a0-73c1210301e5;"pessoas escravizadas";VCAA;4002;"2025-12-01 19:49:23";"2025-12-01 19:49:23"
019adc1b-3a2e-71ea-9184-6f57295c4d94;"povos originários";VCAA;4277;"2025-12-01 19:49:23";"2025-12-01 19:49:23"
019adc1b-3a9c-72e7-b11a-4fdcddcb9fd6;prostitutas;VCAA;4832;"2025-12-01 19:49:23";"2025-12-01 19:49:23"
019adc1b-3b0a-73bc-ba50-1392186a6449;restauradores;VCAA;4863;"2025-12-01 19:49:23";"2025-12-01 19:49:23"
019adc1b-3b79-7219-83ac-95e86f375a4a;serralheiros;VCAA;7637;"2025-12-01 19:49:23";"2025-12-01 19:49:23"
019adc1b-3be8-707e-8a39-5e146bd1bf63;sertanejos;VCAA;5148;"2025-12-01 19:49:23";"2025-12-01 19:49:23"
019adc1b-3c54-727d-a2fa-c8ff18cfd6d2;sobrinhos;VCAA;4897;"2025-12-01 19:49:23";"2025-12-01 19:49:23"
019adc1b-3cc2-73b8-86e5-884616ec2a70;suiços;VCAA;4910;"2025-12-01 19:49:23";"2025-12-01 19:49:23"
019adc1b-3d31-7145-8a00-dec27ebc7333;viajantes;VCAA;5002;"2025-12-01 19:49:24";"2025-12-01 19:49:24"
019adc1b-3d9e-72ea-af18-60b548a58779;viúvos;VCAA;5011;"2025-12-01 19:49:24";"2025-12-01 19:49:24"
019adc1b-3f59-7118-84f8-fc274b777bea;agudás;VCAA;2634;"2025-12-01 19:49:24";"2025-12-01 19:49:24"
019adc1b-410e-7326-ae36-a3f6fddc4e72;"povos originários da América Central";VCAA;4279;"2025-12-01 19:49:25";"2025-12-01 19:49:25"
019adc1b-4189-714c-8091-84f3ffa6ca05;"povos originários da América do Sul";VCAA;4320;"2025-12-01 19:49:25";"2025-12-01 19:49:25"
019adc1b-4319-7079-8947-9e45c6b0cf31;Tupinambá;VCAA;4321;"2025-12-01 19:49:25";"2025-12-01 19:49:25"
